,listing_url,host_id,description,host_name,DISTRICTE,latitude,longitude,minimum_nights,last_review,calculated_host_listings_count,availability_365,NUMERO_REGISTRE_GENERALITAT,Tipo,TipoDescripcion,CODI_DISTRICTE,CODI_BARRI
25,https://www.airbnb.com/rooms/144471,700165,"<b>The space</b><br />HELLO PEOPLE :=) <br />are you on vacation? or business? Perhaps a student? or just passing through ..! is just what you need ..! =) I' renting a room per days, weeks or monthly Rent a quiet and comfortable rooms in a beautifully renovated apartment.<br />ROOMS DESCRIPTIONS: ROOM #1 It is a double room with a double bed and closet ideal for relaxing after a long day!<br /><br />In summer could has different price, depend of the season or week events in BCN.<br /><br />The most important thing!!! the flat is my home, I'm opening the doors of my home for you, please take care of it as yours, keep everything clean and respect the place.  <br />Only one rule we have, DRUNK PEOPLE ARE NOT ALLOWED IN MY HOME, PLEASE!! THANKS!! if you are the person who like drink and drink without any control until get sick, this is not your place!! sorry!! ;D<br /><br />EXTRA SERVICES: <br />Kitchen not available for cooking  but  can used the refrigerator use .<br /><br />FREE SERVICE",Wonderful Barcelona,EIXAMPLE,41.38189,2.15857,3,2022-09-18,4,81,Nulo,0,Nulos-Ilegales,2,7.5
38,https://www.airbnb.com/rooms/177502,848995,"Private room in shared apartment in the center.<br />Please contact me before sending a booking.<br /><br /><b>The space</b><br />The room has a 4m2 terrace, very quiet and with lots of sun. It's a shared apartment and we have a friendly and relaxed atmosphere.",Pedro,EIXAMPLE,41.39196,2.16856,7,2022-10-14,1,24,Nulo,0,Nulos-Ilegales,2,7.5
46,https://www.airbnb.com/rooms/83283,700165,"<b>The space</b><br />HELLO PEOPLE :=) <br />are you on vacation? or business? Perhaps a student? or just passing through ..! is just what you need ..! =) I' renting a room per days, weeks or monthly Rent a quiet and comfortable rooms in a beautifully renovated apartment.<br />ROOMS DESCRIPTIONS: ROOM #1 It is a double room with a double bed and closet ideal for relaxing after a long day!<br /><br />In summer could has different price, depend of the season or week events in BCN.<br /><br />The most important thing!!! the flat is my home, I'm opening the doors of my home for you, please take care of it as yours, keep everything clean and respect the place.  <br />Only one rule we have, DRUNK PEOPLE ARE NOT ALLOWED IN MY HOME, PLEASE!! THANKS!! if you are the person who like drink and drink without any control until get sick, this is not your place!! sorry!! ;D<br /><br />EXTRA SERVICES: <br />Kitchen not available for cooking  but  can used the refrigerator use .<br /><br />FREE SERVICE",Wonderful Barcelona,EIXAMPLE,41.38237,2.16146,3,2022-06-13,4,79,Nulo,0,Nulos-Ilegales,2,7.5
58,https://www.airbnb.com/rooms/107437,556626,""" A conserved, period villa situated in the midst of the ""lung"" of Barcelona.Unbeatably situated near the center of Barcelona and in the midst of the Collserola Nature Reserve. A beautiful, 1930s house""<br />Tourist L :HUTB-009025<br />The house is at  3 minutes walking to the metro station<br />The area is safe and wr take lot of  care with decinfection of the house, We keep 3 days between bookings<br /><br /><b>The space</b><br />"" A conserved, period villa situated in the midst of the ""lung"" of Barcelona.Unbeatably situated within the metropolitan area of Barcelona and in the midst of the Collserola Nature Reserve. A beautiful, 1930s house, pleasantly situated in typically Mediterranean woodland with terraces. Recently restored maintaining its original, officially catalogued style. , at an unbelievable 5, 10 or 15 minutes by metro  to the center  and at only 3 minutes walk from the nearest station, Les Planes. Surounded by nature, wildlife and silence, yet maintaining the advantages",Cristina,SARRIÀ-SANT GERVASI,41.42864,2.09159,2,2022-11-22,2,335,Nulo,0,Nulos-Ilegales,5,24.5
88,https://www.airbnb.com/rooms/477256,2365702,"<b>The space</b><br />an apartment with a lot of light near the sea and very well connected, it's about 20 minutes walking from the city center and 10 by metro. i have two little rooms with a single bed each.<br /><br />an apartment with a lot of light near the sea and very well connected, it's about 20 minutes walking from the city center and 10 by metro. i have two little rooms with a single bed each.<br /><br />come and stay with full access to the apartment! wi-fi, and fully equipped kitchen!<br /><br />It is possible to use the washing-mashine plus dryer. The price of clean and dry will be 5 euros.<br /><br />detailed info:<br /><br />metro and bus: ""llacuna""  metro stations (yellow line) it is just 3 blocks away of the apartment and with six stops you'll be in the CITY CENTER (10 min). red line, is also very close, about 5 minutes walking. with these two metro lines you can get to most places of barcelona.   also, if you want to enjoy bus there are some just in front of the build",David,SANT MARTÍ,41.40248,2.19668,3,2022-11-11,2,323,Nulo,0,Nulos-Ilegales,10,68.5
99,https://www.airbnb.com/rooms/493122,2365702,"<b>The space</b><br />an apartment with a lot of light near the sea and very well connected, it's about 20 minutes walking from the city center and 10 by metro. i have two little rooms with a single bed each.<br /><br />come and stay  with full access to the apartment! wi-fi  and fully equipped kitchen! <br /><br />It is possible to use the washing-mashine plus dryer. The price of clean and dry will be 5 euros.<br /><br />detailed info:<br /><br />metro and bus: ""llacuna""  metro stations (yellow line) it is just 3 blocks away of the apartment and with six stops you'll be in the CITY CENTER (10 min). red line, is also very close, about 5 minutes walking. with these two metro lines you can get to most places of barcelona.   also, if you want to enjoy bus there are some just in front of the building that will also bring you to the center of the city.<br /><br />about the area: in it's origin it was a residential area of St. Martin of Provençals that grew quickly in population and industry",David,SANT MARTÍ,41.4016,2.19424,4,2022-11-07,2,289,Nulo,0,Nulos-Ilegales,10,68.5
119,https://www.airbnb.com/rooms/274156,1447144,"Beautiful bright and sunny spacious duplex apartment located in central Barcelona, in Poble Sec in a very nice and safe neighbourhood. This is a nice and special apartment in a perfect location in the city!<br /><br /><b>The space</b><br />Welcome to Barcelona!<br /><br />PRICE FROM 90 EUROS - 230 EUROS<br /><br />If you contact us we'll answer you with more information and the total price. The price is set according to the number of people, number of nights and season.<br /><br />IDEAL QUIET LOCATION IN THE CENTER OF BARCELONA CLOSE TO LAS RAMBLAS fnt<br /><br />Come discover why this is a lovely and unique accommodation which will offer you not only a comfortable stay but also a nice experience in Barcelona if you want to be part of the “local scene”. In the past the building was an industrial factory and then a school. Since 1999 there are several apartments in the building with nice neighbours and our apartment is a nice place for our guests who want to visit Barcelona.<br /><br />",Acomodis Apartments,SANTS-MONTJUÏC,41.37314,2.16789,1,2022-10-03,131,365,Nulo,0,Nulos-Ilegales,3,14.5
129,https://www.airbnb.com/rooms/275350,1435464,"Take a moment to relax on the beautiful sunny balcony before strolling to the Liceu Opera House. This apartment is a blend of character and modernity, with designer tripod lamps, a vintage mahogany table, and Curve dining chairs by Kartell.  We speak of a spacious quirky apartment with a large living and dinning area, which includes a fully equipped kitchen with stainless steel appliances.",Jaume,CIUTAT VELLA,41.38099,2.17213,1,2022-11-05,13,358,Nulo,0,Nulos-Ilegales,1,2.5
155,https://www.airbnb.com/rooms/331026,440881,"PLEASE READ THE DESCRIPTION PROPERLY BEFORE EMAILING QUESTIONS.<br /><br />I prefer not to have bookings for 2 guests that are longer than a month for this room.<br /><br />Also do not book this room if it is NOT FOR YOURSELF; don't book it for your parents, friends, etc. This has led to issues in the past.<br /><br />A SMALL room with a SMALL twin bed (140cm). It can sleep a couple if necessary, but if you are hoping for luxury remember this is a SIMPLE room in a  CENTRAL, COOL  area!<br /><br /><b>The space</b><br />This is a 3 bed apt. This is a small simple room for one (maybe two persons).  Wi-fi is fiber optic internet, new 42-inch plasma TV, dishwasher, and access via lift. <br /><br />The bathroom is shared. <br /><br />This area Mercat de Sant Anton is now probably the best area in BCN, now that the old market has been totally renovated.<br /><br />The street has been pedestrianised as has the area around the market so it is really wonderful and almost car-free.<br /><br />A g",Lee,EIXAMPLE,41.37793,2.15978,3,2022-11-30,1,233,Nulo,0,Nulos-Ilegales,2,7.5
161,https://www.airbnb.com/rooms/342641,1738696,"In ""Mas Blanc"", a mediterranean villa with garden, vegetable garden and swimming-pool, we offer you an apartment in the basement of the house, with private access from the garden, and a private terrace for outside meals. Parking for the car.<br /><br /><b>The space</b><br />""Mas Blanc"" is a large Mediterranean house complete with garden and swimming pool, wih luscious forest surroundings in the heart of the Collserola Natural Park (Barcelona's lungs as locals say), just a stone's throw away from famous Barcelona and Catalonia's popular beaches. <br />Ideally situated and very tranquil, it is especially suited to couples or small families travelling by car, who want to appreciate Barcelona and its surroundings but want to avoid staying in the city centre (easily accessible by public transport in 15 min.). Relax in the peaceful setting of an expansive house with garden, pool and organic vegetable garden. Definitely for those seeking the simple things in life.<br /><br /><b>Guest access</",Estela,SARRIÀ-SANT GERVASI,41.42882,2.10123,2,2022-10-23,1,206,Nulo,0,Nulos-Ilegales,5,24.5
